Created_date,Open,Closed,Resolved
2016-01-01,6,0,12
2016-01-02,4,4,4
2016-01-03,7,2,3
2016-01-04,35,5,24
2016-01-05,31,7,32
2016-01-06,38,7,31
2016-01-07,65,7,39
2016-01-08,48,11,32
2016-01-09,23,1,18
2016-01-10,57,2,14
2016-01-11,50,16,40
2016-01-12,55,19,46
2016-01-13,60,9,37
2016-01-14,54,18,30
2016-01-15,40,19,57
2016-01-16,34,7,23
2016-01-17,5,3,8
2016-01-18,30,24,38
2016-01-19,44,15,52
2016-01-20,47,14,62
2016-01-21,68,24,57
2016-01-22,55,17,65
2016-01-23,11,6,29
2016-01-24,8,8,21
2016-01-25,39,38,45
2016-01-26,54,21,62
2016-01-27,49,26,100
2016-01-28,62,26,78
2016-01-29,46,24,55
2016-01-30,19,2,25
2016-01-31,9,7,16
2016-02-01,37,41,50
2016-02-02,43,43,69
2016-02-03,58,33,76
2016-02-04,77,39,56
2016-02-05,45,28,93
2016-02-06,20,3,38
2016-02-07,12,3,24
2016-02-08,31,61,54
2016-02-09,39,39,73
2016-02-10,55,39,67
2016-02-11,49,22,79
2016-02-12,44,20,75
2016-02-13,14,35,32
2016-02-14,15,14,21
2016-02-15,46,26,47
2016-02-16,50,46,52
2016-02-17,61,31,68
2016-02-18,78,36,73
2016-02-19,71,93,72
2016-02-20,16,18,43
2016-02-21,15,18,21
2016-02-22,52,52,69
2016-02-23,63,43,90
2016-02-24,54,38,134
2016-02-25,69,34,71
2016-02-26,71,63,98
2016-02-27,23,12,32
2016-02-28,5,98,21
2016-02-29,57,24,64
2016-03-01,51,29,86
2016-03-02,52,137,86
2016-03-03,77,33,100
2016-03-04,41,32,79
2016-03-05,12,5,16
2016-03-06,12,22,22
2016-03-07,41,18,61
2016-03-08,51,38,80
2016-03-09,51,46,85
2016-03-10,67,61,73
2016-03-11,37,54,82
2016-03-12,5,3,4
2016-03-13,15,21,38
2016-03-14,70,115,59
2016-03-15,54,28,90
2016-03-16,50,19,107
2016-03-17,47,147,75
2016-03-18,35,41,60
2016-03-19,14,19,28
2016-03-20,13,7,26
2016-03-21,57,37,70
2016-03-22,55,76,102
2016-03-23,76,24,113
2016-03-24,87,39,59
2016-03-25,49,18,75
2016-03-26,27,8,28
2016-03-27,11,13,17
2016-03-28,21,25,49
2016-03-29,61,48,74
2016-03-30,66,83,83
2016-03-31,49,67,93
2016-04-01,53,36,72
2016-04-02,15,6,36
2016-04-03,6,17,19
2016-04-04,41,34,66
2016-04-05,63,66,91
2016-04-06,58,41,86
2016-04-07,56,28,69
2016-04-08,40,28,64
2016-04-09,11,9,35
2016-04-10,7,8,20
2016-04-11,50,75,76
2016-04-12,58,285,175
2016-04-13,65,79,99
2016-04-14,59,48,85
2016-04-15,47,42,74
2016-04-16,11,14,36
2016-04-17,10,12,29
2016-04-18,38,27,68
2016-04-19,56,25,113
2016-04-20,62,39,93
2016-04-21,80,52,68
2016-04-22,62,49,116
2016-04-23,11,9,47
2016-04-24,7,3,23
2016-04-25,41,32,92
2016-04-26,50,30,90
2016-04-27,102,65,106
2016-04-28,92,38,110
2016-04-29,43,25,123
2016-04-30,10,8,34
2016-05-01,17,4,17
2016-05-02,42,29,68
2016-05-03,58,24,130
2016-05-04,37,26,95
2016-05-05,47,43,83
2016-05-06,38,51,96
2016-05-07,14,4,25
2016-05-08,12,24,19
2016-05-09,76,83,158
2016-05-10,69,74,103
2016-05-11,83,69,88
2016-05-12,31,50,134
2016-05-13,48,32,82
2016-05-14,10,57,22
2016-05-15,7,9,14
2016-05-16,59,95,84
2016-05-17,60,59,175
2016-05-18,61,144,84
2016-05-19,58,28,97
2016-05-20,52,47,118
2016-05-21,21,65,45
2016-05-22,15,26,23
2016-05-23,56,36,61
2016-05-24,57,63,102
2016-05-25,54,34,66
2016-05-26,54,99,83
2016-05-27,83,43,84
2016-05-28,16,49,40
2016-05-29,18,20,24
2016-05-30,31,19,54
2016-05-31,58,27,211
2016-06-01,58,44,106
2016-06-02,64,57,113
2016-06-03,53,98,110
2016-06-04,15,12,33
2016-06-05,10,11,9
2016-06-06,41,41,137
2016-06-07,77,52,125
2016-06-08,63,101,83
2016-06-09,81,33,124
2016-06-10,43,89,117
2016-06-11,22,11,37
2016-06-12,12,69,24
2016-06-13,54,44,100
2016-06-14,54,27,115
2016-06-15,46,73,103
2016-06-16,62,48,104
2016-06-17,52,233,114
2016-06-18,20,48,47
2016-06-19,9,49,13
2016-06-20,64,55,136
2016-06-21,59,434,142
2016-06-22,53,46,93
2016-06-23,41,65,88
2016-06-24,44,63,110
2016-06-25,14,29,19
2016-06-26,10,18,14
2016-06-27,73,96,74
2016-06-28,55,55,125
2016-06-29,43,39,95
2016-06-30,52,35,92
2016-07-01,49,57,102
2016-07-02,13,17,29
2016-07-03,14,13,15
2016-07-04,19,66,57
2016-07-05,54,53,86
2016-07-06,46,37,149
2016-07-07,42,24,119
2016-07-08,41,48,76
2016-07-09,9,58,31
2016-07-10,7,13,13
2016-07-11,46,140,153
